指挥官	面板技能	panelId	abilityId	abilityCatalog	buttonId	buttonCatalog	requirementId	requirementCatalog	casterId	casterCatalog	目标方式	费用/冷却/充能	能力节点摘要	具体效果	当前状态
斯托科夫	亚历山大号	aleksander	StukovSummonAleksander	本地 CAbilEffectTarget	StukovSummonAleksander	本地 CButton	StukovLevel10	本地 CRequirement	CoopCasterStukov	本地 CUnit	点目标	冷却 初始 360 秒，使用 360 秒，位置 Player	射程 500；主效果 StukovSummonAleksanderCU；产物 StukovAleksander	在目标位置呼叫亚历山大号被感染的战列巡航舰。亚历山大号可以被控制，持续作战60秒。；亚历山大号：召唤可控制的 UED 旗舰支援，具备感染/控制相关效果。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯托科夫	末日巨兽	apocalisk	StukovSummonApocalisk	本地 CAbilEffectTarget	StukovSummonApocalisk	本地 CButton	StukovLevel04	本地 CRequirement	CoopCasterStukov	本地 CUnit	点目标	冷却 初始 240 秒，使用 300 秒，位置 Player	射程 500；主效果 StukovSummonApocaliskCU；产物 StukovApocalisk	在目标位置孵化一只末日巨兽。末日巨兽可以被控制，持续作战60秒。；末日巨兽：召唤末日巨兽；拥有潜地冲锋、范围伤害与对空攻击。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯托科夫	感染建筑	infest_structure	SIStukovInfestStructure	本地 CAbilEffectTarget	SIStukovInfestStructure	本地 CButton		未使用	CoopCasterStukov	本地 CUnit	单位/建筑目标	冷却 初始 180 秒，使用 90 秒	射程 500；主效果 SIStukovInfestStructureInitialSet；目标效果 SIStukovInfestStructureInitialSet	感染目标友方建筑，每秒治疗25点生命，并使其在20.03 秒内持续孵化60.09只巢虫。；感染建筑：使目标敌方建筑失效并生成感染体；升级版本效果更强。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯托科夫	感染建筑（升级）	infest_structure_upgraded	SIStukovInfestStructureUpgraded	本地 CAbilEffectTarget	SIStukovInfestStructureUpgraded	本地 CButton		未使用	CoopCasterStukov	本地 CUnit	单位/建筑目标	充能 最大 3，每次 1，恢复 90 秒	射程 500；主效果 SIStukovInfestStructureInitialSet；目标效果 SIStukovInfestStructureInitialSet	感染友方或敌方建筑，使其在20.03秒内孵化[未解析:Effect,SIStukovInfestStructureBroodlingsCU,SpawnCount*Behavior,SIStukovInfestStructureEnemyTarget,Duration*Behavior,SIStukovInfestStructureEnemyTarget,PeriodicEffectRateMultiplier/Behavior,SIStukovInfestStructureEnemyTarget,Period]只巢虫。在效果持续时间内，友方建筑每秒恢复25点生命值，敌方建筑则会丧失功能。；感染建筑（升级）：升级后的感染建筑顶部条能力，强化感染/生成效果。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯托科夫	部署灵能发射器	psi_emitter	SIStukovPlaceHordeRally	本地 CAbilEffectTarget	SIStukovPlaceHordeRallyTopBar	本地 CButton		未使用	CoopCasterStukov	本地 CUnit	点目标	无显式费用/冷却字段	射程 500；主效果 SIStukovPlaceHordeRallyCP	将当前已有和后续新造的被感染的步兵单位派往指定地点。；灵能发射器：设置感染人群的集结/行军目标点。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯旺	作战空投	combat_drop	SpecialDelivery	本地 CAbilEffectTarget	SpecialDelivery	本地 CButton		未使用	CoopCasterSwann	本地 CUnit	点目标	冷却 初始 240 秒，使用 240 秒，位置 Player	射程 500；主效果 SpecialDeliveryInitialSet；目标效果 DropPodStunSearch	召唤4台武装机器人，使降落区域中的敌方地面单位昏迷。武装机器人可以控制并会战斗60秒。；作战空投：在目标区域投放斯旺的战斗支援部队。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯旺	汇聚射线	concentrated_beam	DrakkenLaserDrillConcentratedBeamIssueOrder	本地 CAbilEffectInstant	DrakkenLaserDrillBFGIO	本地 CButton	HaveLaserDrillBFG	本地 CRequirement	CoopCasterSwann	本地 CUnit	点目标	无显式费用/冷却字段		对一条直线上的敌方单位造成400点伤害，长度为整个地图。；汇聚射线：激光钻机发射直线高伤害射线。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯旺	德拉肯激光钻机攻击	laser_drill_attack	DrakkenLaserDrillAttackIssueOrder	本地 CAbilEffectTarget	DrakkenLaserDrillAttackIssueOrder	本地 CButton	HaveLaserDrill	本地 CRequirement	CoopCasterSwann	本地 CUnit	单位目标	无显式费用/冷却字段	射程 500；主效果 DrakkenLaserDrillIssueAttackOrderDummyCP	使用德拉肯激光钻机进行攻击，造成每秒20点伤害。射程无限。；激光钻机攻击：命令德拉肯激光钻机攻击指定目标。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
斯旺	脉冲炮	pulse_cannon	DrakkenLaserDrillPulseCannonIssueOrder	本地 CAbilEffectInstant	DrakkenLaserDrillPulseCannonIO	本地 CButton	HaveLaserDrillNuke	本地 CRequirement	CoopCasterSwann	本地 CUnit	点目标	无显式费用/冷却字段		对目标区域的敌方单位和建筑造成600点伤害。；脉冲炮：激光钻机发射大范围高伤害脉冲炮。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泰凯斯	医疗运输机空运	medivac_transport	TychusMedicTransportLoadUnits	本地 CAbilEffectTarget	TychusMedicTransportUnitsTopBar	本地 CButton	HaveMedivacPlatformGlobal	本地 CRequirement	CoopCasterTychus	本地 CUnit	点目标	冷却 使用 120 秒	射程 500；主效果 TychusMedicTransportUnitsInitialSet；目标效果 TychusMedicTransportUnitsSearchDummy	立即将目标区域内的所有不法之徒运送到指定位置，下机时获得治疗和隐身效果。如果这些单位受到攻击，他们获得的治疗和隐身效果都会消失。；医疗运输机空运：立即把目标区域不法之徒运输到指定位置，下机获得治疗和隐身，受击后效果消失。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泰凯斯	巨炮乱射	odin_barrage	TychusOdinBarrage	本地 CAbilEffectTarget	TychusOdinRedButton	本地 CButton		未使用	TychusOdin	本地 CUnit	点目标	充能 最大 1，每次 1	射程 10；主效果 TychusOdinBarrageCP；目标效果 BarrageSearchArea	击晕一个大范围内的所有敌人，并在5秒内造成1000点伤害。；巨炮乱射：大范围击晕敌人，并在持续时间内造成多段伤害。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泰凯斯	空投奥丁	odin_calldown	TychusCalldownOdinTargeted	本地 CAbilEffectTarget	TychusCalldownOdin	本地 CButton	TychusLevel03	本地 CRequirement	CoopCasterTychus	本地 CUnit	点目标	冷却 初始 600 秒，使用 360 秒，位置 Player	射程 500；主效果 TychusCalldownOdinTargetedSwitch；目标效果 TychusCalldownOdinSearchArea	将奥丁空投至目标位置，落地时造成150点伤害。奥丁需要泰凯斯驾驶。如果泰凯斯失去作战能力，空投奥丁还会将其复活。奥丁可以被控制60秒。；空投奥丁：将奥丁空投到目标位置，落地造成伤害；奥丁由泰凯斯驾驶，可持续一段时间。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泰凯斯	红色按钮	odin_nuke	TychusOdinNuclearStrike	本地 CAbilEffectTarget	TychusOdinNuclearStrike	本地 CButton		未使用	TychusOdin	本地 CUnit	点目标	充能 最大 1，每次 1	射程 15；主效果 OdinNukePersistent；目标效果 OdinNukeDamage	朝目标位置呼叫一次聚变打击。聚变打击需要[未解析:Effect,OdinNukePersistent,InitialDelay+Effect,OdinNukePersistent,ExpireDelay]秒才能生效，但可对大范围内的目标造成最多1000点伤害。；红色按钮：向目标位置呼叫聚变打击，延迟后对大范围目标造成高额伤害。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
沃拉尊	黑洞	black_hole	VoidSentryBlackHole	本地 CAbilEffectTarget	SOAVorazunBlackHole	本地 CButton		未使用	SoACasterVorazun	本地 CUnit	点目标	能量 25		制造一个黑洞，将敌方单位吸入并使它们昏迷。持续8秒。；黑洞；本地能力节点显示消耗 25 能量，效果链来自黑洞能力。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
沃拉尊	黑暗水晶塔	dark_pylon	SOADarkPylon	本地 CAbilBuild	SOADarkPylon	本地 CButton		未使用	SoACasterVorazun	本地 CUnit	建造点	建造 DarkPylon，建造时间 3 秒，能量 25，冷却 60 秒	射程 500	折跃一座黑暗水晶塔，提供补给和能量。黑暗水晶塔还会使附近的友方单位和建筑隐形。；召唤黑暗水晶塔；本地建造项显示消耗 25 能量、建造 3 秒、冷却 60 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
沃拉尊	暗影卫队	shadow_guard	SOAShadowGuardCalldown	本地 CAbilEffectTarget	SOAShadowGuardCalldown	本地 CButton		未使用	SoACasterVorazun	本地 CUnit	点目标	能量 50；冷却 初始 180 秒，使用 180 秒	射程 500；主效果 ShadowGuardCU	向目标位置部署2名精英黑暗圣堂武士，持续60秒。；召唤暗影卫队；本地效果显示生成 2 个 VorazunShadowGuard，能力消耗 50 能量、初始/使用冷却 180 秒。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
沃拉尊	时间停止	time_stop	SOATimeFreeze	依赖/官方 CAbilEffectInstant	SOATimeFreeze	本地 CButton	HaveSOATimeFreeze	依赖/官方 CRequirement	SoACasterVorazun	本地 CUnit	瞬发	冷却 初始 300 秒，使用 300 秒		改变时间与空间，使所有敌人原地静止20秒。射程无限。；时间停止：冻结所有敌人；官方战役/合作文本提供效果说明，当前 profile 已接 ability/button/requirement/caster。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
沃拉尊	时间停止（威望版）	time_stop_prestige	CommanderPrestigeVorazunTimeStop	本地 CAbilEffectTarget	SOATimeFreeze	本地 CButton	HaveSOATimeFreeze	依赖/官方 CRequirement	SoACasterVorazun	本地 CUnit	瞬发	冷却 初始 300 秒，使用 300 秒	射程 500	改变时间与空间，使所有敌人原地静止20秒。射程无限。；时间停止威望版：本地能力节点显示初始冷却 300 秒、使用冷却 300 秒，并复用时间停止按钮。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
扎加拉	爆虫弹幕	baneling_barrage	ZagaraVoidCoopBanelingBarrage	本地 CAbilEffectTarget	ZagaraVoidCoopBanelingBarrage	本地 CButton		未使用	ZagaraVoidCoop	本地 CUnit	点目标	能量 50；冷却 使用 10 秒，位置 Player，链接 ZagaraVoidCoopBanelingBarrage	射程 10；主效果 ZagaraVoidCoopBanelingBarrageCP	向目标点发射4枚爆虫，每枚爆虫会造成40点爆炸伤害(80 vs 建筑)。；爆虫弹幕：扎加拉向目标区域投放/发射爆虫，对地面区域造成爆炸伤害。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
扎加拉	猎杀者	hunter_killers	ZagaraVoidCoopSpawnHunterKillers	本地 CAbilEffectTarget	ZagaraVoidCoopSpawnHunterKillers	本地 CButton		未使用	ZagaraVoidCoop	本地 CUnit	点目标	能量 60；冷却 使用 30 秒，位置 Player，链接 ZagaraVoidCoopSpawnHunterKillers	射程 9；主效果 ZagaraVoidCoopSpawnHunterKillersInitialSet	在目标点孵化4只屠猎者，持续20秒。；猎杀者：召唤猎杀者支援扎加拉作战。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
扎加拉	群体狂暴	mass_frenzy	ZagaraVoidCoopMassFrenzy	本地 CAbilEffectInstant	ZagaraVoidCoopMassFrenzy	本地 CButton		未使用	ZagaraVoidCoop	本地 CUnit	瞬发	能量 25；冷却 使用 90 秒，位置 Player，链接 ZagaraVoidCoopMassFrenzy	主效果 ZagaraVoidCoopMassFrenzySwitch	使地图上所有友方单位的攻击速度提高25%，移动速度提高25%，持续15秒。；群体狂暴：提高友方单位的攻击速度和移动速度。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
扎加拉	感染空投	roach_drop	ZagaraVoidCoopMassRoachDrop	本地 CAbilEffectTarget	MassRoachDrop	本地 CButton	ZagaraLevel02	本地 CRequirement	ZagaraVoidCoop	本地 CUnit	点目标	冷却 初始 600 秒，使用 180 秒，位置 Player，链接 ZagaraVoidCoopInfestedPods	射程 500；主效果 ZagaraVoidCoopMassRoachDropCP；目标效果 ZagaraVoidCoopMassRoachlingDropSearch	空投10个空投囊到目标区域，每个空投囊造成50点伤害，并投放总计10只蟑螂，持续30秒。；感染空投：向战场空投装有蟑螂的孢子，蟑螂一段时间后死亡。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泽拉图	精华化身	avatar_essence	ZeratulTopBarUltimateWarpTrain	本地 CAbilWarpTrain	ZeratulArtifactUpgradeTier3B	本地 CButton	HaveZeratulArtifactUpgradeTier3B	本地 CRequirement	CoopCasterZeratul	本地 CUnit	点目标	建造 ZeratulXelNagaConstruct，建造时间 1 秒，冷却 300 秒；建造 ZeratulXelNagaConstructCyan，建造时间 1 秒，冷却 300 秒		在目标位置召唤进化潜能的具象体——精华化身。精华化身可被操控作战60秒。；精华化身：泽拉图终极神器分支之一，通过终极折跃训练能力召唤。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泽拉图	形体化身	avatar_form	ZeratulTopBarUltimateWarpTrain	本地 CAbilWarpTrain	ZeratulArtifactUpgradeTier3A	本地 CButton	HaveZeratulArtifactUpgradeTier3A	本地 CRequirement	CoopCasterZeratul	本地 CUnit	点目标	建造 ZeratulXelNagaConstruct，建造时间 1 秒，冷却 300 秒；建造 ZeratulXelNagaConstructCyan，建造时间 1 秒，冷却 300 秒		在目标位置召唤灵能潜能的具象体——形体化身。形体化身可被操控作战60秒。；形体化身：泽拉图终极神器分支之一，通过终极折跃训练能力召唤。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泽拉图	塞达斯军团	dark_archon_legion	ZeratulTopBarWarpTrain	本地 CAbilWarpTrain	ZeratulSummonDarkArchon	本地 CButton	HaveZeratulArtifactUpgradeTier0C	本地 CRequirement	CoopCasterZeratul	本地 CUnit	点目标	建造 ZeratulSummonKarass，建造时间 1 秒，冷却 120 秒；建造 Mohandar，建造时间 1 秒，冷却 120 秒；建造 ZeratulHeroDarkArchon，建造时间 1 秒，冷却 120 秒；建造 ZeratulKhaydarinMonolith，建造时间 1 秒；建造 ZeratulXelNagaConstruct，冷却 300 秒；建造 ZeratulSuppressionCrystal		召唤塞达斯及其传奇般的黑暗执政官军团支援战场。该军团无法被直接控制，但可以使用顶部技能条对其进行指引。军团将参战60秒。；塞达斯军团：折跃传奇军团分支，生成黑暗执政官相关支援。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泽拉图	特布鲁斯军团	karass_legion	ZeratulTopBarWarpTrain	本地 CAbilWarpTrain	ZeratulSummonKarass	本地 CButton	HaveZeratulArtifactUpgradeTier0A	本地 CRequirement	CoopCasterZeratul	本地 CUnit	点目标	建造 ZeratulSummonKarass，建造时间 1 秒，冷却 120 秒；建造 Mohandar，建造时间 1 秒，冷却 120 秒；建造 ZeratulHeroDarkArchon，建造时间 1 秒，冷却 120 秒；建造 ZeratulKhaydarinMonolith，建造时间 1 秒；建造 ZeratulXelNagaConstruct，冷却 300 秒；建造 ZeratulSuppressionCrystal		召唤特布鲁斯及其传奇般的狂热者军团支援战场。该军团无法被直接控制，但可以使用顶部技能条对其进行指引。军团将参战60秒。；特布鲁斯军团：折跃传奇军团分支，生成狂热者/特布鲁斯相关支援。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泽拉图	部署超维空间巨石	khaydarin_monolith	ZeratulTopBarBuild	本地 CAbilBuild	ZeratulKhaydarinMonolith	本地 CButton	HaveZeratulArtifactUpgradeTier1C	本地 CRequirement	CoopCasterZeratul	本地 CUnit	建造点	建造 ZeratulKhaydarinMonolith，建造时间 1 秒	射程 500	在目标位置部署超维空间巨石。超维空间巨石可以击晕敌人，进行自我投射，保护自己免受伤害。；部署超维空间巨石：在目标位置部署超维空间巨石防御建筑。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泽拉图	静滞射线	mapwide_stasis	ZeratulMapWideStasisIssueOrder	本地 CAbilEffectInstant	ZeratulMapWideStasis	本地 CButton	HaveZeratulArtifactUpgradeTier1A	本地 CRequirement	CoopCasterZeratul	本地 CUnit	划线目标	无显式费用/冷却字段		从神器储放台中迸射出一道光束，使敌人陷入静滞状态，持续15秒。该状态下的敌人无法移动、攻击，也无法被攻击或受到技能影响。；静滞射线：发射线形静滞射线，使命中的敌人无法移动、攻击或受到伤害。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泽拉图	佐拉亚军团	mohandar_legion	ZeratulTopBarWarpTrain	本地 CAbilWarpTrain	ZeratulSummonMohandar	本地 CButton	HaveZeratulArtifactUpgradeTier0B	本地 CRequirement	CoopCasterZeratul	本地 CUnit	点目标	建造 ZeratulSummonKarass，建造时间 1 秒，冷却 120 秒；建造 Mohandar，建造时间 1 秒，冷却 120 秒；建造 ZeratulHeroDarkArchon，建造时间 1 秒，冷却 120 秒；建造 ZeratulKhaydarinMonolith，建造时间 1 秒；建造 ZeratulXelNagaConstruct，冷却 300 秒；建造 ZeratulSuppressionCrystal		召唤佐拉亚及其传奇般的虚空辉光舰军团支援战场。该军团无法被直接控制，但可以使用顶部技能条对其进行指引。军团将参战60秒。；佐拉亚军团：折跃传奇军团分支，生成虚空辉光舰相关支援。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泽拉图	指引传奇军团	rally_legendary_legion	RallyZeratulTopBarRedirect	本地 CAbilRally	RallyZeratulTopBarRedirect	本地 CButton	HaveZeratulLegionUnits	本地 CRequirement	CoopCasterZeratul	本地 CUnit	点目标	无显式费用/冷却字段		将传奇军团派往新的位置。；指引传奇军团：重定向已召唤传奇军团的集结/攻击目标。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
泽拉图	虚空抑制晶体	suppression_crystal	ZeratulTopBarWarpTrain	本地 CAbilWarpTrain	ZeratulSuppressionCrystal	本地 CButton	HaveZeratulArtifactUpgradeTier1B	本地 CRequirement	CoopCasterZeratul	本地 CUnit	点目标	建造 ZeratulSummonKarass，建造时间 1 秒，冷却 120 秒；建造 Mohandar，建造时间 1 秒，冷却 120 秒；建造 ZeratulHeroDarkArchon，建造时间 1 秒，冷却 120 秒；建造 ZeratulKhaydarinMonolith，建造时间 1 秒；建造 ZeratulXelNagaConstruct，冷却 300 秒；建造 ZeratulSuppressionCrystal		召唤一枚无敌的虚空抑制晶体，使敌方单位的移动和攻击速度降低70%，并瘫痪邻近的敌方建筑。虚空抑制晶体可以被控制30秒。；虚空抑制晶体：部署晶体并提供抑制场，压制范围内敌人。	profile 已接；ability/button/requirement/caster 可解析；未实机施法
