指挥官	类型	来源单位	当前CUnit	状态	缺运行时attack	缺运行时武器	缺命令卡接线	本地技能	本地武器	运行时技能	运行时武器	官方命令卡技能
凯瑞甘	单位/英雄	K5Kerrigan	K5Kerrigan	ok_effective_combat_link	否	否	无	KerriganMaelstrom, KerriganVoidCoopEconDrop, KerriganVoidCoopCrushingGripWave	无	attack, stop, move, PsionicLift, K5KerriganPsiStrikeMorph, PsiStrikeWalk, MindBolt, PrimalSlash, WildMutation, SpawnBanelings, PrimalHeal, K5DropPods, K5Leviathan, Apocalypse, K5KerriganBurrow, KerriganMaelstrom, KerriganVoidCoopEconDrop, KerriganVoidCoopCrushingGripWave	K5Ranged	SpawnBanelings(SpawnBanelings), K5DropPods(K5DropPods), PrimalSlash(PrimalSlash), MindBolt(MindBolt), PsiStrike(PsiStrikeWalk), PsionicLift(PsionicLift), 吸收光环(KerriganVoidCoopEconDrop), PrimalHeal(PrimalHeal), WildMutation(WildMutation)
凯瑞甘	单位/英雄	BroodLord	BroodLord	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, BroodLordHangar, BroodLordQueue2	BroodlingStrike	无
凯瑞甘	单位/英雄	Hydralisk	Hydralisk	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, BurrowHydraliskDown, HydraliskFrenzy, MorphToLurker, que1	HydraliskMelee, NeedleSpines	突击(HydraliskFrenzy), 潜地(BurrowHydraliskDown), 出地(BurrowHydraliskUp)
凯瑞甘	单位/英雄	MutaliskBroodlord	MutaliskBroodlord	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, que1, MutaliskMorphToBroodLord	GlaiveWurm	无
凯瑞甘	单位/英雄	SwarmQueen	SwarmQueen	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, BurrowSwarmQueenDown, SwarmQueenTrain, SwarmQueenParasiticInvasion, MorphToLargeSwarmQueen, que1	SwarmQueenAcidSpines	无
凯瑞甘	单位/英雄	Ultralisk	Ultralisk	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, BurrowUltraliskDown, UltraliskWeaponCooldown, UltraliskBurrowCharge	KaiserBlades	潜地(BurrowUltraliskDown), 出地(BurrowUltraliskUp), BurrowChargeCampaign(UltraliskBurrowCharge)
凯瑞甘	单位/英雄	Zergling	Zergling	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, que1, BurrowZerglingDown	Claws	潜地(BurrowZerglingDown), 出地(BurrowZerglingUp)
凯瑞甘	单位/英雄	LurkerMP	LurkerMP	ok_effective_combat_link	否	否	无	无	无	stop, move, BurrowLurkerMPDown, attack	Spinesdisabled	无
凯瑞甘	单位/英雄	Overseer	Overseer	noncombat_or_no_weapon	否	否	无	OverseerMorphtoOverseerSiege	无	stop, move, SpawnChangeling, Contaminate, ColonyInfestation, OverseerMorphtoOverseerSiegeMode, OverseerMorphtoOverseerSiege	无	无
蒙斯克	单位/英雄	SCVMengsk	SCVMengsk	ok_effective_combat_link	否	否	无	stop, attack, move, Repair, SCVHarvest, TerranBuildMengsk, MapObjectInteract, MutatorRemoveWorkerSleep, SprayTerran, SCVMengskMorphTrooperNoWeapon, SCVMengskEnlist, TrooperMengskBuild	FusionCutterMengsk	stop, attack, move, Repair, SCVHarvest, TerranBuildMengsk, SprayTerran, SCVMengskMorphTrooperNoWeapon, SCVMengskEnlist, TrooperMengskBuild, MapObjectInteract, MutatorRemoveWorkerSleep	FusionCutterMengsk	采集(SCVHarvest), 战斗报道(SCVMengskEnlist), 建造征兵中心(TerranBuildMengsk), 建造精炼厂(TerranBuildMengsk), 建造补给地堡(TrooperMengskBuild), 建造兵营(TerranBuildMengsk), 建造工程站(TerranBuildMengsk), 建造大地碎裂炮(TrooperMengskBuild), 建造导弹塔(TrooperMengskBuild), 建造皇家军校(TerranBuildMengsk), 建造重工厂(TerranBuildMengsk), 建造军械库(TerranBuildMengsk), 建造星港(TerranBuildMengsk), 建造聚变芯体(TerranBuildMengsk)
蒙斯克	单位/英雄	TrooperMengsk	TrooperMengsk	ok_effective_combat_link	否	否	无	stop, attack, move, TrooperMengskSpecializeAA, TrooperMengskSpecializeFlamethrower, TrooperMengskSpecializeImproved, TrooperMengskEnlist, TrooperMengskMorphSCV, TrooperMengskBuild	TrooperMengsk	stop, attack, move, TrooperMengskSpecializeAA, TrooperMengskSpecializeFlamethrower, TrooperMengskSpecializeImproved, TrooperMengskEnlist, TrooperMengskMorphSCV, TrooperMengskBuild	TrooperMengsk	攻击(attack), 工地报道(TrooperMengskEnlist), 装备B-2大口径轻机枪(TrooperMengskSpecializeImproved), 装备CPO-7火蜥火焰喷射器(TrooperMengskSpecializeFlamethrower), 装备冰雹发射器(TrooperMengskSpecializeAA), 建造补给地堡(TrooperMengskBuild), 建造大地碎裂炮(TrooperMengskBuild), 建造导弹塔(TrooperMengskBuild)
蒙斯克	单位/英雄	TrooperMengskAA	TrooperMengskAA	ok_effective_combat_link	否	否	无	stop, attack, move, TrooperMengskMorphSCV, StimpackMengsk, TrooperMengskEnlist, TrooperMengskBuild	TrooperMengskRocket, TrooperMengsk	stop, attack, move, TrooperMengskMorphSCV, StimpackMengsk, TrooperMengskEnlist, TrooperMengskBuild	TrooperMengskRocket, TrooperMengsk	攻击(attack), 工地报道(TrooperMengskEnlist), 装备B-2大口径轻机枪(TrooperMengskSpecializeImproved), 装备CPO-7火蜥火焰喷射器(TrooperMengskSpecializeFlamethrower), 装备冰雹发射器(TrooperMengskSpecializeAA), 建造补给地堡(TrooperMengskBuild), 建造大地碎裂炮(TrooperMengskBuild), 建造导弹塔(TrooperMengskBuild)
蒙斯克	单位/英雄	TrooperMengskFlamethrower	TrooperMengskFlamethrower	ok_effective_combat_link	否	否	无	stop, attack, move, TrooperMengskMorphSCV, StimpackMengsk, TrooperMengskEnlist, TrooperMengskBuild	TrooperMengskFlamethrower	stop, attack, move, TrooperMengskMorphSCV, StimpackMengsk, TrooperMengskEnlist, TrooperMengskBuild	TrooperMengskFlamethrower	攻击(attack), 工地报道(TrooperMengskEnlist), 装备B-2大口径轻机枪(TrooperMengskSpecializeImproved), 装备CPO-7火蜥火焰喷射器(TrooperMengskSpecializeFlamethrower), 装备冰雹发射器(TrooperMengskSpecializeAA), 建造补给地堡(TrooperMengskBuild), 建造大地碎裂炮(TrooperMengskBuild), 建造导弹塔(TrooperMengskBuild)
蒙斯克	单位/英雄	TrooperMengskImproved	TrooperMengskImproved	ok_effective_combat_link	否	否	无	stop, attack, move, TrooperMengskMorphSCV, StimpackMengsk, TrooperMengskEnlist, TrooperMengskBuild	TrooperMengskImproved	stop, attack, move, TrooperMengskMorphSCV, StimpackMengsk, TrooperMengskEnlist, TrooperMengskBuild	TrooperMengskImproved	攻击(attack), 工地报道(TrooperMengskEnlist), 装备B-2大口径轻机枪(TrooperMengskSpecializeImproved), 装备CPO-7火蜥火焰喷射器(TrooperMengskSpecializeFlamethrower), 装备冰雹发射器(TrooperMengskSpecializeAA), 建造补给地堡(TrooperMengskBuild), 建造大地碎裂炮(TrooperMengskBuild), 建造导弹塔(TrooperMengskBuild)
蒙斯克	单位/英雄	MarauderMengsk	MarauderMengsk	ok_effective_combat_link	否	否	无	stop, attack, move, MarauderMengskAttackSpeedBoost	PunisherGrenadesMengsk	stop, attack, move, MarauderMengskAttackSpeedBoost	PunisherGrenadesMengsk	攻击(attack), 高端强化剂(MarauderMengskAttackSpeedBoost)
蒙斯克	单位/英雄	GhostMengsk	GhostMengsk	ok_effective_combat_link	否	否	无	stop, attack, move, GhostMengskNuke, GhostMengskHoldFire, GhostMengskWeaponsFree, GhostMengskEMPShortStun, GhostMengskIrradiateSmallDamage, GhostMengskSuperCloak, GhostMengskEMPLongStun, GhostMengskIrradiateBigDamage	C10CanisterRifleMengsk	stop, attack, move, GhostMengskNuke, GhostMengskHoldFire, GhostMengskWeaponsFree, GhostMengskEMPShortStun, GhostMengskIrradiateSmallDamage, GhostMengskSuperCloak, GhostMengskEMPLongStun, GhostMengskIrradiateBigDamage	C10CanisterRifleMengsk	攻击(attack), 停火(GhostMengskHoldFire), 自由射击(GhostMengskWeaponsFree), 焰能爆燃(GhostMengskIrradiateSmallDamage), EMP震爆(GhostMengskEMPShortStun), 迷宫式隐形迷彩(GhostMengskSuperCloak), 战术飞弹打击(GhostMengskNuke)
蒙斯克	单位/英雄	MedivacMengsk	MedivacMengsk	ok_effective_combat_link	否	否	无	MedivacMengskHeal, stop, move, MedivacMengskTransport, MedivacMengskSpeedBoost, MedivacMengskDoubleBeamHeal, attack	MedivacMengskSiegeTankAirlift	MedivacMengskHeal, stop, move, MedivacMengskTransport, MedivacMengskSpeedBoost, MedivacMengskDoubleBeamHeal, attack	MedivacMengskSiegeTankAirlift	治疗(MedivacMengskDoubleBeamHeal), 后燃推进系统(MedivacMengskSpeedBoost), 装载(MedivacMengskTransport), 全部卸载(MedivacMengskTransport)
蒙斯克	单位/英雄	SiegeTankMengsk	SiegeTankMengsk	ok_effective_combat_link	否	否	无	stop, attack, move, SiegeModeMengsk	SiegeTankMengsk, 90mmCannonsMengskLookAt	stop, attack, move, SiegeModeMengsk	SiegeTankMengsk, 90mmCannonsMengskLookAt	攻击(attack), 攻城模式(SiegeModeMengsk)
蒙斯克	单位/英雄	SiegeTankMengskSieged	SiegeTankMengskSieged	ok_effective_combat_link	否	否	无	stop, attack, UnsiegeMengsk	SiegeTankMengskSieged	stop, attack, UnsiegeMengsk	SiegeTankMengskSieged	攻击(attack), 坦克模式(UnsiegeMengsk)
蒙斯克	单位/英雄	ThorMengsk	ThorMengsk	ok_effective_combat_link	否	否	无	attack, move, stop, ThorMengskSiege, ThorMengskSiegeTargeted, ThorMengskSiegeTargetedIncreasedRange, ThorMengskSiegeTargetedLargeAoE	JavelinMissileLaunchersMengsk, ThorsHammerMengsk	attack, move, stop, ThorMengskAAMengsk, ThorMengskMAAMengsk, ThorMengskSiege, ThorMengskSiegeTargeted, ThorMengskSiegeTargetedIncreasedRange, ThorMengskSiegeTargetedLargeAoE	JavelinMissileLaunchersMengsk, ThorsHammerMengsk	攻击(attack), 掩护射击模式(ThorMengskSiegeTargeted)
蒙斯克	单位/英雄	VikingMengskFighter	VikingMengskFighter	ok_effective_combat_link	否	否	无	stop, attack, move, AssaultModeMengsk	无	stop, attack, move, AssaultModeMengsk	VikingMengskAir	攻击(attack), 突击模式(AssaultModeMengsk)
蒙斯克	单位/英雄	VikingMengskAssault	VikingMengskAssault	ok_effective_combat_link	否	否	无	stop, attack, move, FighterModeMengsk	无	stop, attack, move, FighterModeMengsk	VikingMengskGround	攻击(attack), 战机模式(FighterModeMengsk)
蒙斯克	单位/英雄	BattlecruiserMengsk	BattlecruiserMengsk	ok_effective_combat_link	否	否	无	stop, attack, move, que1, BattlecruiserMengskYamato, BattlecruiserMengskYamatoTwoCharges, BattlecruiserMengskHyperjump, BattlecruiserMengskHyperjumpTwoCharges	SwitchLaserBatteryMengsk	stop, attack, move, que1, BattlecruiserMengskYamato, BattlecruiserMengskYamatoTwoCharges, BattlecruiserMengskHyperjump, BattlecruiserMengskHyperjumpTwoCharges	SwitchLaserBatteryMengsk	攻击(attack), 大和炮(BattlecruiserMengskYamato), 战术跳跃(BattlecruiserMengskHyperjump)
蒙斯克	单位/英雄	RavenMengsk	RavenMengsk	ok_effective_combat_link	否	否	无	attack, stop, move, RavenMengskMorphtoRavenMengskSieged	无	attack, stop, move, RavenMengskMorphtoRavenMengskSieged	无	爱国者模式(RavenMengskMorphtoRavenMengskSieged)
蒙斯克	单位/英雄	RavenMengskSieged	RavenMengskSieged	ok_effective_combat_link	否	否	无	attack, stop, move, RavenMengskMorphtoRavenMengskSieged, RavenMengskSiegedMorphtoRavenMengsk	无	attack, stop, move, RavenMengskMorphtoRavenMengskSieged, RavenMengskSiegedMorphtoRavenMengsk	无	取消爱国者模式(RavenMengskSiegedMorphtoRavenMengsk)
诺娃	单位/英雄	Banshee_BlackOps	Banshee_BlackOps	ok_effective_combat_link	否	否	无	stop, attack, move, WarpableNova, Banshee_BlackOpsAirstrike	Banshee_BlackOps	stop, attack, move, Banshee_BlackOpsAirstrike, WarpableNova	Banshee_BlackOps	火箭弹幕(Banshee_BlackOpsAirstrike)
诺娃	单位/英雄	GhostNova	GhostNova	ok_effective_combat_link	否	否	无	Snipe_BlackOps, GhostHoldFire, GhostWeaponsFree, WarpableNova	无	stop, attack, move, Snipe_BlackOps, GhostHoldFire, GhostWeaponsFree, WarpableNova	C10CanisterRifle	AttackGhost(attack), 停火(GhostHoldFire), 自由射击(GhostWeaponsFree), 战术聚变打击(TacNukeStrike), 稳定瞄准(Snipe_BlackOps), EMP弹(EMPBlackOps), 隐形(GhostCloak), EMP弹(EMPBlackOps), 取消隐形(GhostCloak)
诺娃	单位/英雄	Goliath_BlackOps	Goliath_BlackOps	ok_effective_combat_link	否	否	无	stop, attack, move, WarpableNova	Goliath_BlackOpsA, Goliath_BlackOpsAUpgraded, Goliath_BlackOpsG, Goliath_BlackOpsGUpgraded	stop, attack, move, WarpableNova	Goliath_BlackOpsAUpgraded, Goliath_BlackOpsGUpgraded, Goliath_BlackOpsA, Goliath_BlackOpsG	无
诺娃	单位/英雄	HellbatBlackOps	HellbatBlackOps	ok_effective_combat_link	否	否	无	stop, attack, move, MorphToHellionBlackOps, HellbatCharge	HellbatBlackOps	stop, attack, move, MorphToHellionBlackOps, HellbatCharge	HellbatBlackOps	恶火模式(MorphToHellionBlackOps), 喷气背包突击(HellbatCharge)
诺娃	单位/英雄	Liberator_BlackOps	Liberator_BlackOps	ok_effective_combat_link	否	否	无	stop, attack, move, Liberator_BlackOpsMorphtoAG, LiberatorAG_BlackOpsTarget, WarpableNova, VehicleAfterburners	Liberator_BlackOpsMissileLaunchers	stop, attack, move, LiberatorAGNova, LiberatorMAGNova, Liberator_BlackOpsMorphtoAG, LiberatorAG_BlackOpsTarget, WarpableNova, VehicleAfterburners	Liberator_BlackOpsMissileLaunchers	防卫模式(LiberatorAG_BlackOpsTarget)
诺娃	单位/英雄	Marauder_BlackOps	Marauder_BlackOps	ok_effective_combat_link	否	否	无	stop, attack, move, StimpackMarauder_BlackOps, WarpableNova, MagrailMunitionsMarauder	Marauder_BlackOps	stop, attack, move, MagrailMunitionsNova, StimpackMarauder_BlackOps, WarpableNova, MagrailMunitionsMarauder	Marauder_BlackOps	MagrailMunitions(MagrailMunitionsMarauder)
诺娃	单位/英雄	Marine_BlackOps	Marine_BlackOps	ok_effective_combat_link	否	否	无	stop, attack, move, WarpableNova, SuperStimpackMarine	Marine_BlackOps	stop, attack, move, NovaSuperStim, WarpableNova, SuperStimpackMarine	Marine_BlackOps	超级强化剂(SuperStimpackMarine)
诺娃	单位/英雄	Raven_BlackOps	Raven_BlackOps	noncombat_or_no_weapon	否	否	无	stop, move, WarpableNova, InstantSeekerMissile_BlackOps, BuildAutoTurret_BlackOps, PlaceHealingDrone	无	stop, move, SeekerMissileNova, BuildAutoTurret_BlackOps, PlaceHealingDrone, WarpableNova, InstantSeekerMissile_BlackOps	无	建造磁轨炮塔(BuildAutoTurret_BlackOps), 部署生物机械修理无人机(PlaceHealingDrone), 捕食者飞弹(InstantSeekerMissile_BlackOps)
诺娃	单位/英雄	MercReaper	MercReaper	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, D8Charge	MercReaperP38ScytheGuassPistol, MercReaperD8Charge	无
诺娃	单位/英雄	SiegeTank_BlackOps	SiegeTank_BlackOps	ok_effective_combat_link	否	否	无	stop, attack, move, SiegeTank_BlackOpsSiege, WarpableNova, DeploySpiderMines	SiegeTank_BlackOps, 90mmCannonsLookAt	stop, attack, move, SiegeTank_BlackOpsSiege, DeploySpiderMines, WarpableNova	SiegeTank_BlackOps, 90mmCannonsLookAt	攻城模式(SiegeTank_BlackOpsSiege), 部署蜘蛛雷(DeploySpiderMines)
诺娃	单位/英雄	SCV	SCV	ok_effective_combat_link	否	否	无	MapObjectInteract, MutatorRemoveWorkerSleep, TerranBuildFullRefund, AdvancedConstructionAuto, SprayTerran	无	stop, attack, move, Repair, SCVHarvest, TerranBuild, SprayTerran, GatherSpecialObject, CancelTerrazineHarvest, TerranBuildDrop, WorkerStopIdleAbilityVespene, MapObjectInteract, MutatorRemoveWorkerSleep, TerranBuildFullRefund, AdvancedConstructionAuto	FusionCutter	高级建造(AdvancedConstructionAuto)
雷诺	单位/英雄	Marine	Marine	ok_effective_combat_link	否	否	无	无	无	stop, attack, move, Stimpack	GuassRifle	使用强化剂(Stimpack)
雷诺	单位/英雄	Medic	Medic	noncombat_or_no_weapon	否	否	无	HealPlusMech	无	HealPlusMech	无	治疗(HealPlusMech)
雷诺	单位/英雄	Vulture	Vulture	noncombat_or_no_weapon	否	否	无	VehicleAfterburners	无	VehicleAfterburners	无	无
雷诺	单位/英雄	Firebat	Firebat	noncombat_or_no_weapon	否	否	无	StimpackMarauder	无	StimpackMarauder	无	使用强化剂(StimpackMarauder)
雷诺	单位/英雄	SCV	SCV	ok_effective_combat_link	否	否	无	MapObjectInteract, MutatorRemoveWorkerSleep, TerranBuildFullRefund, AdvancedConstructionAuto, SprayTerran	无	stop, attack, move, Repair, SCVHarvest, TerranBuild, SprayTerran, GatherSpecialObject, CancelTerrazineHarvest, TerranBuildDrop, WorkerStopIdleAbilityVespene, MapObjectInteract, MutatorRemoveWorkerSleep, TerranBuildFullRefund, AdvancedConstructionAuto	FusionCutter	高级建造(AdvancedConstructionAuto)
雷诺	单位/英雄	Viking	Viking	noncombat_or_no_weapon	否	否	无	无	无	无	无	无
雷诺	单位/英雄	Banshee	Banshee	ok_effective_combat_link	否	否	无	VehicleAfterburners	无	stop, attack, move, BansheeCloak, VehicleAfterburners	BacklashRockets	隐形(BansheeCloak), 取消隐形(BansheeCloak)
雷诺	单位/英雄	Marauder	Marauder	ok_effective_combat_link	否	否	无	无	无	stop, attack, move	PunisherGrenades	使用强化剂(StimpackMarauder)
雷诺	单位/英雄	Battlecruiser	Battlecruiser	ok_effective_combat_link	否	否	无	HyperjumpNoVision, VehicleAfterburners	SwitchLaserBattery, ATSLaserBatteryDummy, ATALaserBatteryDummy	BattlecruiserStop, BattlecruiserAttack, BattlecruiserMove, Yamato, que1, HyperjumpNoVision, DefensiveMatrix, Hyperjump, VehicleAfterburners	BattlecruiserWeaponSwitch, SwitchLaserBattery, ATSLaserBattery, ATALaserBattery, ATSLaserBatteryDummy, ATALaserBatteryDummy	大和炮(Yamato), 战术跳跃(Hyperjump)
雷诺	单位/英雄	SiegeTank	SiegeTank	ok_effective_combat_link	否	否	无	SiegeTankWreckage, VehicleAfterburners	90mmCannonsLookAt	stop, attack, move, SiegeMode, SiegeTankWreckage, VehicleAfterburners	90mmCannons, 90mmCannonsFake, 90mmCannonsLookAt	攻城模式(SiegeMode)
斯台特曼	单位/英雄	DroneStetmann	DroneStetmann	ok_effective_combat_link	否	否	无	stop, attack, move, ZergBuildStetmann, DroneHarvest, BurrowDroneDownStetmann, DroneCarcassHarvest, MapObjectInteract, MutatorRemoveWorkerSleep, SprayZerg, Repair	DroneSpinesStetmann	stop, attack, move, ZergBuildStetmann, DroneHarvest, BurrowDroneDownStetmann, SprayZerg, Repair, DroneCarcassHarvest, MapObjectInteract, MutatorRemoveWorkerSleep	DroneSpinesStetmann	变形为机械孵化场(ZergBuildStetmann), 变形为机械萃取房(ZergBuildStetmann), 变形为机械分裂池(ZergBuildStetmann), 变形为机械进化腔(ZergBuildStetmann), 变形为机械爆虫巢穴(ZergBuildStetmann), 变形为机械脊针爬虫(ZergBuildStetmann), 变形为机械孢子爬虫(ZergBuildStetmann), 变形为机械刺蛇巢(ZergBuildStetmann), 变形为机械感染深渊(ZergBuildStetmann), 变形为机械尖塔(ZergBuildStetmann), 变形为机械雷兽窟(ZergBuildStetmann)
斯台特曼	单位/英雄	GaryStetmann	GaryStetmann	ok_effective_combat_link	否	否	无	stop, attack, move, MorphToSuperGaryStetmann, GaryStetmannOrb, GaryStetmannRecall, GaryStetmannPowerTowerOverchargeSpeed, GaryStetmannPowerTowerOverchargeHealth, GaryStetmannPowerTowerOverchargeEnergy	GaryStetmannGun	stop, attack, move, MorphToSuperGaryStetmann, GaryStetmannOrb, GaryStetmannRecall, GaryStetmannPowerTowerOverchargeSpeed, GaryStetmannPowerTowerOverchargeHealth, GaryStetmannPowerTowerOverchargeEnergy	GaryStetmannGun	E-Gorb(GaryStetmannOrb), 艾星超载(GaryStetmannPowerTowerOverchargeEnergy), 半稳定物质传送(GaryStetmannRecall), 超级盖瑞变形程序(MorphToSuperGaryStetmann)
斯台特曼	单位/英雄	SuperGaryStetmann	SuperGaryStetmann	ok_effective_combat_link	否	否	无	stop, attack, move, SuperGaryStetmannOrb, SuperGaryStetmannRecall, SuperGaryStetmannPowerTowerOverchargeSpeed, SuperGaryStetmannPowerTowerOverchargeHealth, SuperGaryStetmannPowerTowerOverchargeEnergy, PowerFieldSuperGaryStetmannSpeed, PowerFieldSuperGaryStetmannHealth, PowerFieldSuperGaryStetmannEnergy	SuperGaryStetmannGun	stop, attack, move, SuperGaryStetmannOrb, SuperGaryStetmannRecall, SuperGaryStetmannPowerTowerOverchargeSpeed, SuperGaryStetmannPowerTowerOverchargeHealth, SuperGaryStetmannPowerTowerOverchargeEnergy, PowerFieldSuperGaryStetmannSpeed, PowerFieldSuperGaryStetmannHealth, PowerFieldSuperGaryStetmannEnergy	SuperGaryStetmannGun	E-Gorb(SuperGaryStetmannOrb), 艾星超载(SuperGaryStetmannPowerTowerOverchargeEnergy), 半稳定物质传送(SuperGaryStetmannRecall), 盖瑞区域(PowerFieldSuperGaryStetmannEnergy)
斯台特曼	单位/英雄	ZerglingStetmann	ZerglingStetmann	ok_effective_combat_link	否	否	无	stop, attack, move, que1, BurrowZerglingDownStetmann, MorphToBanelingStetmann	ZerglingClawsStetmann	stop, attack, move, que1, BurrowZerglingDownStetmann, MorphToBanelingStetmann	ZerglingClawsStetmann	变形为机械爆虫(MorphToBanelingStetmann), 潜地(BurrowZerglingDownStetmann)
斯台特曼	单位/英雄	BanelingStetmann	BanelingStetmann	ok_effective_combat_link	否	否	无	stop, attack, move, BurrowBanelingDownStetmann, BanelingStetmannExplode, VolatileBurstBuilding, BanelingStetmannJump	BanelingExplodeStetmann, BanelingExplodeBuildingStetmann	stop, attack, move, BurrowBanelingDownStetmann, BanelingStetmannExplode, VolatileBurstBuilding, BanelingStetmannJump	BanelingExplodeStetmann, BanelingExplodeBuildingStetmann	爆炸(BanelingStetmannExplode), 关闭对建筑攻击(VolatileBurstBuilding), 离心火箭伺服器(BanelingStetmannJump), 潜地(BurrowBanelingDownStetmann)
斯台特曼	单位/英雄	RoachStetmann	RoachStetmann	ok_effective_combat_link	否	否	无	stop, attack, move, BurrowRoachDownStetmann	RoachStetmannMelee, RoachStetmannAcidSaliva	stop, attack, move, BurrowRoachDownStetmann	RoachStetmannMelee, RoachStetmannAcidSaliva	RavagerStetmann(MorphToRavagerStetmann), 潜地(BurrowRoachDownStetmann)
斯台特曼	单位/英雄	RavagerStetmann	RavagerStetmann	ok_effective_combat_link	否	否	无	stop, attack, move, BurrowRavagerDownStetmann, RavagerStetmannCorrosiveBile	RavagerStetmannPlasmaDischarge	stop, attack, move, BurrowRavagerDownStetmann, RavagerStetmannCorrosiveBile	RavagerStetmannPlasmaDischarge	环境危害性喷发(RavagerStetmannCorrosiveBile), 潜地(BurrowRavagerDownStetmann)
斯台特曼	单位/英雄	HydraliskStetmann	HydraliskStetmann	ok_effective_combat_link	否	否	无	stop, attack, move, BurrowHydraliskDownStetmann, MorphToLurkerStetmann, HydraliskStetmannMissilePowerOn, HydraliskStetmannMissilePowerOff	HydraliskMelee, HydraliskHellfireMissilesStetmann, HydraliskNeedleSpinesStetmann	stop, attack, move, BurrowHydraliskDownStetmann, MorphToLurkerStetmann, HydraliskStetmannMissilePower, HydraliskStetmannMissilePowerOn, HydraliskStetmannMissilePowerOff	HydraliskMeleeStetmann, HydraliskHellfireMissilesEStetmann, HydraliskHellfireMissilesStetmann, HydraliskNeedleSpinesStetmann, HydraliskMelee	增威弹头：开(HydraliskStetmannMissilePowerOn), 增威弹头：关(HydraliskStetmannMissilePowerOff), 变形为机械潜伏者(MorphToLurkerStetmann), 潜地(BurrowHydraliskDownStetmann)
斯台特曼	单位/英雄	LurkerStetmann	LurkerStetmann	ok_effective_combat_link	否	否	无	stop, move, BurrowLurkerDownStetmann, FastBurrowLurkerDownStetmann, LurkerStetmannTunnelingBurst, LurkerStetmannChannelingSpines	LurkerStetmann	stop, move, BurrowLurkerDownStetmann, FastBurrowLurkerDownStetmann, LurkerStetmannTunnelingBurst, LurkerStetmannChannelingSpines	LurkerStetmann	恐怖钻击算法(LurkerStetmannTunnelingBurst), 集火强击算法(LurkerStetmannChannelingSpines), LurkerBurrowDown(BurrowLurkerDownStetmann)
斯台特曼	单位/英雄	LurkerStetmannBurrowed	LurkerStetmannBurrowed	ok_effective_combat_link	否	否	无	attack, BurrowLurkerUpStetmann, BurrowLurkerDownStetmann, stop, LurkerHoldFire, LurkerRemoveHoldFire, LurkerStetmannChannelingSpines, LurkerStetmannTunnelingBurst	LurkerStetmann	attack, BurrowLurkerUpStetmann, BurrowLurkerDownStetmann, stop, LurkerHoldFire, LurkerRemoveHoldFire, LurkerStetmannChannelingSpines, LurkerStetmannTunnelingBurst	LurkerStetmann	攻击(attack), 停火(LurkerHoldFire), 取消停火(LurkerRemoveHoldFire), 恐怖钻击算法(LurkerStetmannTunnelingBurst), 集火强击算法(LurkerStetmannChannelingSpines), 出地(BurrowLurkerUpStetmann)
斯台特曼	单位/英雄	InfestorStetmann	InfestorStetmann	noncombat_or_no_weapon	否	否	无	stop, move, BurrowInfestorDownStetmann, InfestorStetmannHealingTentacle, InfestorStetmannInfestBuilding, InfestorStetmannEggLaunch	无	stop, move, BurrowInfestorDownStetmann, InfestorStetmannHealingTentacle, InfestorStetmannInfestBuilding, InfestorStetmannEggLaunch	无	“蟑螂出击！”(InfestorStetmannEggLaunch), UMI-C充能协议(InfestorStetmannHealingTentacle), 解构型蟑螂机器人(InfestorStetmannInfestBuilding), 潜地(BurrowInfestorDownStetmann)
斯台特曼	单位/英雄	UltraliskStetmann	UltraliskStetmann	ok_effective_combat_link	否	否	无	stop, attack, move, BurrowUltraliskDownStetmann, UltraliskStetmannBurrowCharge, UltraliskWeaponCooldown, UltraliskStetmannMechanicalLifeLeech	UltraliskKaiserBladesStetmann	stop, attack, move, BurrowUltraliskDownStetmann, UltraliskStetmannBurrowCharge, UltraliskWeaponCooldown, UltraliskStetmannMechanicalLifeLeech	UltraliskKaiserBladesStetmann	定向潜地冲锋(UltraliskStetmannBurrowCharge), 机甲揩油模组(UltraliskStetmannMechanicalLifeLeech), 潜地(BurrowUltraliskDownStetmann)
斯台特曼	单位/英雄	CorruptorStetmann	CorruptorStetmann	ok_effective_combat_link	否	否	无	MorphToCBroodLordStetmann, stop, attack, move, CorruptorStetmannMissilePods, CorruptorStetmannCausticSpray	CorruptorParasiteSporeStetmann	MorphToCBroodLordStetmann, stop, attack, move, CorruptorStetmannMissilePods, CorruptorStetmannCausticSpray	CorruptorParasiteSporeStetmann	集束咆哮弹(CorruptorStetmannMissilePods), 泰伦超洁降解液(CorruptorStetmannCausticSpray), 变形为机械巢式战列空母(MorphToCBroodLordStetmann)
