File	Size	MatchedBy	Snippet
campaigns\swarmstoryutil.sc2mod\zhcn.sc2data\localizeddata\gamestrings.txt	6491	Leviathan	据中…… /// Loading data...  Param/Value/lib_281DEC45_0861B6F7=利维坦资源转储已存至游戏日志。 /// Leviathan resource dump saved to gamelogs.  Param/Value/lib_281DEC45_0D768197=未知 /// Unkn
mods\alliedcommanders.sc2mod\enus.sc2data\localizeddata\gamestrings.txt	75	path	
mods\alliedcommanders.sc2mod\zhcn.sc2data\localizeddata\gamestrings.txt	135	path	
mods\warcoop\warmeleeai.sc2mod\enus.sc2data\localizeddata\gamestrings.txt	4814	Mend	mAck=My Horde is invincible now, who needs scouts anyway?  Alert/Text/AICommClaimEnd=What's the point of sending scouts if they can't do their job?  Alert/Text/AICo
mods\warcoop\warmeleeai.sc2mod\zhcn.sc2data\localizeddata\gamestrings.txt	4354	Mend	大，跟着我A上去。  Alert/Text/AICommClaimAck=我的部落已经天下无敌了，还要啥侦察兵啊。  Alert/Text/AICommClaimEnd=不顶事儿的侦察兵派出去不是送人头吗？  Alert/Text/AICommClaimFail=我手头没有侦察兵，何况我也用不着。  Alert/Text/AI
campaigns\liberty.sc2campaign\enus.sc2data\localizeddata\gamestrings.txt	245459	Brutalisk	ion on Normal difficulty.  Achievement/Description/Anniversary_TTosh01=Kill the Brutalisk without losing a unit to it in "The Devil's Playground" mission on Normal Diffi
campaigns\liberty.sc2campaign\zhcn.sc2data\localizeddata\gamestrings.txt	369333	Brutalisk	ength_THorner05S=在普通难度下的“揭露黑幕”任务中，使用武装机器人消灭莽兽。 /// Use the A.R.E.S. to kill the Brutalisk in the "Piercing the Shroud" mission on Normal difficulty.  Achievement/Descrip
campaigns\swarm.sc2campaign\enus.sc2data\localizeddata\gamestrings.txt	315157	Abathur	iption/ZStoryNewLook=Show off your new look to the following characters [Izsha, Abathur, Zurvan].  Achievement/Description/ZStoryRally=Speak to the following character
campaigns\swarm.sc2campaign\zhcn.sc2data\localizeddata\gamestrings.txt	483663	Abathur	造型[伊兹莎、阿巴瑟、祖尔温]。 /// Show off your new look to the following characters [Izsha, Abathur, Zurvan].  Achievement/Description/ZStoryRally=在突击蒙斯克位于克哈上的王宫之前，和以下几位角色进行对话[阿巴瑟
campaigns\void.sc2campaign\enus.sc2data\localizeddata\gamestrings.txt	605081	Abathur	AlliedCommanders=Co-op Missions  Achievement/Category/AlliedCommanders/CommanderAbathur=Abathur  Achievement/Category/AlliedCommanders/CommanderAlarak=Alarak  Achievem
campaigns\void.sc2campaign\zhcn.sc2data\localizeddata\gamestrings.txt	727421	Abathur	manders=合作任务 /// Co-op Missions  Achievement/Category/AlliedCommanders/CommanderAbathur=阿巴瑟 /// Abathur  Achievement/Category/AlliedCommanders/CommanderAlarak=阿拉纳克 ///
mods\core.sc2mod\enus.sc2data\localizeddata\gamestrings.txt	542590	Abathur	ditTextHotS/AUSTRALIAANDNEWZEALAND=AUSTRALIA AND NEW ZEALAND  UI/CreditTextHotS/Abathur=Abathur  UI/CreditTextHotS/AbathurActor=Steve Blum  UI/CreditTextHotS/Adjutant=
mods\core.sc2mod\zhcn.sc2data\localizeddata\gamestrings.txt	535890	Abathur	ERS=助理制作人  UI/CreditTextHotS/AUSTRALIAANDNEWZEALAND=澳大利亚和新西兰  UI/CreditTextHotS/Abathur=阿巴瑟  UI/CreditTextHotS/AbathurActor=Steve Blum  UI/CreditTextHotS/Adjutant=副官  
mods\liberty.sc2mod\enus.sc2data\localizeddata\gamestrings.txt	837932	Abathur	rLoad=Load  Button/Name/CommandCenterUnloadAll=Unload All  Button/Name/CommanderAbathurBaseTrait=Biomass Harvester  Button/Name/CommanderAbathurBiomassLifesteal=Biotic
mods\liberty.sc2mod\zhcn.sc2data\localizeddata\gamestrings.txt	824182	Abathur	andCenterLoad=装载  Button/Name/CommandCenterUnloadAll=全部卸载  Button/Name/CommanderAbathurBaseTrait=生物质收割者  Button/Name/CommanderAbathurBiomassLifesteal=生质汲取  Button/Name
mods\starcoop\starcoop.sc2mod\enus.sc2data\localizeddata\gamestrings.txt	1174214	Abathur	reUnitNoEnemy  Abil/Name/ACPirateCapitalShipTractorBeam=Tractor Beam  Abil/Name/AbathurCreateSymbiote=Create Symbiote  Abil/Name/AbathurCreepMend=Creep Mend  Abil/Name
mods\starcoop\starcoop.sc2mod\zhcn.sc2data\localizeddata\gamestrings.txt	1121228	Abathur	lobalShareUnitNoEnemy  Abil/Name/ACPirateCapitalShipTractorBeam=牵引光束  Abil/Name/AbathurCreateSymbiote=制造共生体  Abil/Name/AbathurCreepMend=菌毯愈合  Abil/Name/AbathurDeepTunn
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\tarcade.sc2map\enus.sc2data\localizeddata\gamestrings.txt	4729	Leviathan	bIcon  Param/Value/8C1D1E68=  Param/Value/90F37D06=LEVEL   Param/Value/93645453=Leviathan  Param/Value/943A3760=  Param/Value/97BFB0D3=Mothership  Param/Value/988B0012=S
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\tarcade.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	6981	Leviathan	lue/8C1D1E68=  Param/Value/90F37D06=关卡 /// LEVEL   Param/Value/93645453=利维坦 /// Leviathan  Param/Value/943A3760=  Param/Value/97BFB0D3=母舰 /// Mothership  Param/Value/988
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\thorner05s.sc2map\enus.sc2data\localizeddata\gamestrings.txt	11815	Brutalisk	ayer09/Name=Attack-bot  MapInfo/Player10/Name=Scientists  MapInfo/Player11/Name=Brutalisk  MapInfo/Player12/Name=The Dominion  MapInfo/Player13/Name=The Dominion  Param/
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\thorner05s.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	19246	Brutalisk	ack-bot  MapInfo/Player10/Name=科学家 /// Scientists  MapInfo/Player11/Name=莽兽 /// Brutalisk  MapInfo/Player12/Name=帝国 /// The Dominion  MapInfo/Player13/Name=帝国 /// The Do
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\ttosh01.sc2map\enus.sc2data\localizeddata\gamestrings.txt	3893	Brutalisk	er minerals from Redstone while fending off zerg attacks.  Param/Value/07B0C8A1=Brutalisk Location  Param/Value/09A6AED9=  Param/Value/0B0A2F25=/  Param/Value/0E5F3E16=S
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\ttosh01.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	5806	Brutalisk	 from Redstone while fending off zerg attacks.  Param/Value/07B0C8A1=莽兽出没位置 /// Brutalisk Location  Param/Value/09A6AED9=  Param/Value/0B0A2F25=/ /// /  Param/Value/0E5F
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\ttychus03.sc2map\enus.sc2data\localizeddata\gamestrings.txt	4797	Brutalisk	troy the Data Cores (  Param/Value/0BF38237=Units Rescued  Param/Value/13155FF5=Brutalisk Killed  Param/Value/13EE5891=Yes  Param/Value/150D565D=NYDUS DEAD  Param/Value/
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\ttychus03.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	7598	Brutalisk	s (  Param/Value/0BF38237=营救单位 /// Units Rescued  Param/Value/13155FF5=消灭莽兽 /// Brutalisk Killed  Param/Value/13EE5891=确定 /// Yes  Param/Value/150D565D=坑道虫死亡 /// NYDUS D
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\tvalerian02b.sc2map\enus.sc2data\localizeddata\gamestrings.txt	3586	Leviathan	Infested Platform  MapInfo/Player09/Name=Orbital Command  MapInfo/Player10/Name=Leviathan  MapInfo/Player11/Name=Platform  Param/Expression/3E1FEF24=Remaining time to ki
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\tvalerian02b.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	5146	Leviathan	MapInfo/Player09/Name=轨道控制基地 /// Orbital Command  MapInfo/Player10/Name=利维坦 /// Leviathan  MapInfo/Player11/Name=平台 /// Platform  Param/Value/054ABB9E=P8 Muta Units = //
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\tvalerian03.sc2map\enus.sc2data\localizeddata\gamestrings.txt	2733	Leviathan	45ED=Energy Nova<n/> cooldown   Param/Value/4B589141=</s>  Param/Value/4D391C1F=Leviathan  Param/Value/6EA2B36D=BD =   Param/Value/850C034D=Mission Start  Param/Value/8F
campaigns\liberty.sc2campaign\base.sc2maps\maps\campaign\tvalerian03.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	5976	Leviathan	epare to die!  Param/Value/4B589141=</s> /// </s>  Param/Value/4D391C1F=利维坦 /// Leviathan  Param/Value/5BD8D0ED=做好准备，我将随时从天而降，结束你们的存在！ /// Prepare yourself, for I shall 
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zchar02.sc2map\enus.sc2data\localizeddata\gamestrings.txt	2557	Biomass	ourge Nest  MapInfo/Player07/Name=Warfield's Forces  MapInfo/Player08/Name=Zerg Biomass  MapInfo/Player09/Name=Hostile  Param/Expression/426B07F3=~A~/3  Param/Expressi
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zchar02.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	3981	Biomass	ayer07/Name=沃菲尔德的部队 /// Warfield's Forces  MapInfo/Player08/Name=异虫生物质 /// Zerg Biomass  MapInfo/Player09/Name=敌对的 /// Hostile  Param/Expression/426B07F3=~A~/3 /// ~A~
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zchar03.sc2map\enus.sc2data\localizeddata\gamestrings.txt	2482	Biomass	  Param/Value/B8F89E53=Anniversary_ZChar03 granted  Param/Value/CCC6BFEB=Terran Biomass  Param/Value/D20F854E=Time Until Nuclear Strike:  Param/Value/D741CD0B=Science 
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zchar03.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	3723	Biomass	nce Facility  Param/Value/B3CDD0B4=凯瑞甘消灭  Param/Value/CCC6BFEB=人类生物质 /// Terran Biomass  Param/Value/D20F854E=聚变打击倒计时： /// Time Until Nuclear Strike:  Param/Value/D741
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zexpedition02.sc2map\enus.sc2data\localizeddata\gamestrings.txt	3000	Biomass	ame=Shakuras Protoss  MapInfo/Player05/Name=Warp Conduit  MapInfo/Player06/Name=Biomass Storage  MapInfo/Player07/Name=Frozen Feral Zerg  MapInfo/Player08/Name=Player 
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zexpedition02.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	4600	Biomass	  MapInfo/Player05/Name=时空航道 /// Warp Conduit  MapInfo/Player06/Name=生物质贮藏器 /// Biomass Storage  MapInfo/Player07/Name=冰冻的野生跳虫 /// Frozen Feral Zerg  MapInfo/Player08/
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zexpedition03.sc2map\enus.sc2data\localizeddata\gamestrings.txt	3704	Biomass	ue/02C35B1A=Destroy this to disable a nearby Force Field.  Param/Value/0EB5D646=Biomass Collected  Param/Value/1125924E=Lowest Escape Pod Time  Param/Value/15916EF9=<s
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zexpedition03.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	5662	Biomass	/ Destroy this to disable a nearby Force Field.  Param/Value/0EB5D646=采集生物质 /// Biomass Collected  Param/Value/1125924E=最短的逃生舱倒计时时间 /// Lowest Escape Pod Time  Param/V
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zhybrid02.sc2map\enus.sc2data\localizeddata\gamestrings.txt	2428	Brutalisk	yer04/Name=Dominion Forces  MapInfo/Player05/Name=Hybrid  MapInfo/Player06/Name=Brutalisk  MapInfo/Player07/Name=Hostile  MapInfo/Player08/Name=Hostile  MapInfo/Player09
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zhybrid02.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	3484	Brutalisk	nion Forces  MapInfo/Player05/Name=混合体 /// Hybrid  MapInfo/Player06/Name=莽兽 /// Brutalisk  MapInfo/Player07/Name=敌对的 /// Hostile  MapInfo/Player08/Name=敌对的 /// Hostile  
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zspace02.sc2map\enus.sc2data\localizeddata\gamestrings.txt	3709	Leviathan	s decided to infiltrate the Moros without assistance from Raynor's Raiders. Her Leviathan will supply her with reinforcements.  LoadingScreen/TipRestart=Kerrigan can't r
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zspace02.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	5577	Leviathan	s decided to infiltrate the Moros without assistance from Raynor's Raiders. Her Leviathan will supply her with reinforcements.  LoadingScreen/TipRestart=凯瑞甘在摩洛斯号上不能复活，所以
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zzerus01.sc2map\enus.sc2data\localizeddata\gamestrings.txt	3293	Biomass	Button/Name/CarryBiomass=Carry Biomass  Button/Name/HarvestQuillgorCorpse=Harvest Quillgor Corpse  Button/Tooltip/CarryBiomass=Carry the Quillgor Biomass to the Ancien
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zzerus01.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	4821	Biomass	Button/Name/CarryBiomass=运送生物质 /// Carry Biomass  Button/Name/HarvestQuillgorCorpse=采集钢背兽生物质 /// Harvest Quillgor Corpse  Button/Tooltip/CarryBiomass=将钢背兽生物质运送给虫祖。 ///
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zzerus03.sc2map\enus.sc2data\localizeddata\gamestrings.txt	3202	Mend	="K5Kerrigan,PrimalHeal,2,2"/></c>."  LoadingScreen/TipRestart=Kerrigan can use Mend to heal herself and nearby allies. Heal your units regularly to keep them alive
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zzerus03.sc2map\zhcn.sc2data\localizeddata\gamestrings.txt	4672	Mend	ngScreen/TipRestart=凯瑞甘可使用愈合技能来治疗自己和附近的同伴。定期治疗你的单位，以确保其存活。 /// Kerrigan can use Mend to heal herself and nearby allies. Heal your units regularly to keep them alive
campaigns\libertystory.sc2campaign\enus.sc2data\localizeddata\gamestrings.txt	1019443	Brutalisk	tion/THorner05S/Comment00013=Use the following line if Raynor hasn't killed two Brutalisks previously.  Conversation/THorner05S/Comment00014=Confirm reinforcements  Conv
campaigns\libertystory.sc2campaign\zhcn.sc2data\localizeddata\gamestrings.txt	1583955	Brutalisk	tion/THorner05S/Comment00013=Use the following line if Raynor hasn't killed two Brutalisks previously. /// Use the following line if Raynor hasn't killed two Brutalisks 
campaigns\swarmstory.sc2campaign\enus.sc2data\localizeddata\gamestrings.txt	365498	Abathur	er Split2  Character/Name/EvoBroodmother=Kilysa  Character/Name/EvolutionMaster=Abathur  Character/Name/EvolutionMaster02=Ssassan  Character/Name/Executor=Executor  Ch
campaigns\swarmstory.sc2campaign\zhcn.sc2data\localizeddata\gamestrings.txt	552185	Abathur	cter/Name/EvoBroodmother=克里莎 /// Kilysa  Character/Name/EvolutionMaster=阿巴瑟 /// Abathur  Character/Name/EvolutionMaster02=瑟萨恩 /// Ssassan  Character/Name/Executor=执行官 
campaigns\voidstory.sc2campaign\zhcn.sc2data\localizeddata\gamestrings.txt	275142	Mend	r home. They could prove to be powerful allies... but first, Artanis must make amends for the past and convince them to set aside their age-old enmity toward their 
mods\core.sc2mod\enus.sc2data\localizeddata\gamestringsproduct.txt	367823	Abathur	Bundle/Description/AbathurBundle=  Bundle/Description/AbathurTwitchPrimeBundle=Twitch Prime members can claim these great rewards! Click the "More Info" button to lear
mods\core.sc2mod\zhcn.sc2data\localizeddata\gamestringsproduct.txt	363970	Abathur	Bundle/Description/AbathurBundle=  Bundle/Description/AbathurTwitchPrimeBundle=Twitch Prime会员可以领取这些奖励！点击“更多信息”按钮了解详情。  Bundle/Description/AlarakBundle=  Bundle/Descrip
mods\balancemultilanmethodcleanedup.sc2mod\dede.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultilanmethodcleanedup.sc2mod\enus.sc2data\localizeddata\objectstrings.txt	73414	Mend	 (Attack)  Actor/Name/ThermalBeamBeam=Thermal Beam (Beam)  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound)  Actor/Name/ThermalBeamLoopSound=Thermal Beam (Lo
mods\balancemultilanmethodcleanedup.sc2mod\eses.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultilanmethodcleanedup.sc2mod\esmx.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultilanmethodcleanedup.sc2mod\frfr.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultilanmethodcleanedup.sc2mod\itit.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultilanmethodcleanedup.sc2mod\kokr.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultilanmethodcleanedup.sc2mod\plpl.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultilanmethodcleanedup.sc2mod\ptbr.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultilanmethodcleanedup.sc2mod\ruru.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultilanmethodcleanedup.sc2mod\zhcn.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultilanmethodcleanedup.sc2mod\zhtw.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\dede.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\enus.sc2data\localizeddata\objectstrings.txt	72060	Mend	 (Attack)  Actor/Name/ThermalBeamBeam=Thermal Beam (Beam)  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound)  Actor/Name/ThermalBeamLoopSound=Thermal Beam (Lo
mods\balancemultislowwarpprism.sc2mod\eses.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\esmx.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\frfr.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\itit.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\kokr.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\plpl.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\ptbr.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\ruru.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\zhcn.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\balancemultislowwarpprism.sc2mod\zhtw.sc2data\localizeddata\objectstrings.txt	60810	Mend	eam=Thermal Beam (Beam) ///Auto - Copied from enUS Locale  Actor/Name/ThermalBeamEndSound=Thermal Beam (End Sound) ///Auto - Copied from enUS Locale  Actor/Name/The
mods\starcoop\commanders\egonstetmann.sc2mod\enus.sc2data\localizeddata\objectstrings.txt	203560	Mend	orPrefix/Lurker_Stetmann_COOP_SuperSpikeImproved=Stetmann -  Model/EditorPrefix/MendBuffStetmann=Stetmann -  Model/EditorPrefix/NeedleSpinesWeaponStetmann=Stetmann 
mods\voidprologue.sc2mod\dede.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
mods\voidprologue.sc2mod\enus.sc2data\localizeddata\objectstrings.txt	56347	Leviathan	kerT1=SMX1 Void Seeker T1  Model/Name/SMX1Zeratul=SMX1 Zeratul  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1  Model/Name/ShadowBladeCastEffect=Shadow Blade Cast Effect  
mods\voidprologue.sc2mod\eses.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
mods\voidprologue.sc2mod\esmx.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
mods\voidprologue.sc2mod\frfr.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
mods\voidprologue.sc2mod\itit.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
mods\voidprologue.sc2mod\kokr.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
mods\voidprologue.sc2mod\plpl.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
mods\voidprologue.sc2mod\ptbr.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
mods\voidprologue.sc2mod\ruru.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
mods\voidprologue.sc2mod\zhcn.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
mods\voidprologue.sc2mod\zhtw.sc2data\localizeddata\objectstrings.txt	83171	Leviathan	ame/SMX1Zeratul=SMX1 Zeratul ///Auto - Copied from enUS Locale  Model/Name/SMX1_LeviathanT1=SMX1_LeviathanT1 ///Auto - Copied from enUS Locale  Model/Name/ShadowBladeCas
campaigns\swarm.sc2campaign\base.sc2maps\maps\campaign\swarm\zzerus01.sc2map\enus.sc2data\localizeddata\objectstrings.txt	989	Biomass	or/Name/LittleTastyCorpse=LittleTastyCorpse (Unnamed)  Button/EditorPrefix/CarryBiomass=Drone -  Button/EditorPrefix/HarvestQuillgorCorpse=Drone -  Effect/Name/SpaceCo
campaigns\liberty.sc2campaign\dede.sc2data\localizeddata\objectstrings.txt	777313	Brutalisk	  Actor/Name/Broodling=Broodling  Actor/Name/BroodlingAttack=Attack  Actor/Name/Brutalisk=Brutalisk  Actor/Name/BrutaliskAirAttack=Brutalisk Air Attack  Actor/Name/Bruta
